"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10n";;;
2;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
3;"J1, J2, J3";"Altech_AK100_1x02_P5.00mm";3;"Conn_01x02";;;
4;"R1, R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
5;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20k";;;
6;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM358";;;
